,date,Institution_Total,Foreign_Investor,Investment_Trust,Dealer,Dealer_Hedging,Dealer_self,Foreign_Dealer_Self,Open,High,Low,Close,Volume,MA5,MA10,MA20,MA60,RSI
20110517,20110517,-7978846122,-6749229125,-152449537,-1077167460,0,0,0,8917.25,8928.990234,8854.139648,8884.089844,2180000,8971.298047,8985.844141,8959.010547,8751.816699,47.91574017
20110518,20110518,414529355,643787344,-787756265,558498276,0,0,0,8885.400391,8946.990234,8885.400391,8944.839844,2060600,8956.185938,8985.593164,8974.325049,8756.166032,52.66982491
20110519,20110519,3445452084,3272096748,734935426,-561580090,0,0,0,8952.25,9026.179688,8888.209961,8892.879883,2573200,8928.025977,8973.020117,8978.305029,8756.983366,48.58503123
20110520,20110520,-3812835180,-2056270261,-95687474,-1660877445,0,0,0,8944.379883,8944.379883,8822.75,8837.030273,2277600,8894.109961,8959.000098,8972.274024,8756.946875,44.58272029
20110523,20110523,-14111287079,-12486105741,-560915063,-1064266275,0,0,0,8767.299805,8776.459961,8695.339844,8747.509766,2123800,8861.269922,8930.203028,8961.178027,8758.177539,39.03237065
20110524,20110524,-3473207241,-2588523525,-464182233,-420501483,0,0,0,8730.230469,8756.900391,8673.379883,8756.610352,2153400,8835.774024,8903.536035,8951.471045,8761.972038,39.85216568
20110525,20110525,-11358621414,-11359038799,269857818,-269440433,0,0,0,8732.299805,8763.639648,8682.490234,8727.089844,2107400,8792.224024,8874.204981,8940.418555,8765.062874,38.06418957
20110526,20110526,-714130964,-2182538608,520199268,948208376,0,0,0,8797.290039,8807.080078,8751.519531,8788.400391,1908000,8771.328125,8849.677051,8927.376074,8768.208708,43.71249095
20110527,20110527,817850053,-504898203,1452881986,-130133730,0,0,0,8806.290039,8860.030273,8803.589844,8810,2083800,8765.922071,8830.016016,8915.837598,8769.582715,45.59488756
20110530,20110530,-2068807299,-2667352131,821621787,-223076955,0,0,0,8757.660156,8844.030273,8748.129883,8823.679688,1871400,8781.156055,8821.212989,8906.628076,8772.979037,46.8081621
20110531,20110531,18543650599,14051357909,1587595336,2904697354,0,0,0,8860.580078,9003.599609,8860.580078,8988.839844,2901000,8827.601953,8831.687989,8908.766065,8777.153532,58.76463301
20110601,20110601,18705086454,15498353936,1859962626,1346769892,0,0,0,8999.839844,9089.469727,8999.839844,9062.349609,2648800,8894.653906,8843.438965,8914.516065,8781.786019,62.77527542
20110602,20110602,-1195487374,-107418171,-211143077,-876926126,0,0,0,8981.709961,9036.269531,8977.669922,8991.360352,2220600,8935.245899,8853.287012,8913.153565,8786.412191,57.0087058
20110603,20110603,2666339574,2358350823,330405581,-22416830,0,0,0,9024.540039,9052.179688,8997.349609,9046.280273,1890800,8982.501953,8874.212012,8916.606055,8791.387695,60.06506145
20110607,20110607,-735643414,-1085617369,-171560900,521534855,0,0,0,9025.209961,9059.19043,8981.44043,9057.099609,1770400,9029.185937,8905.170996,8917.687012,8796.505697,60.65843797
20110608,20110608,-843530719,892200132,-50299015,-1685431836,0,0,0,9044.849609,9070.25,9007.530273,9007.530273,1884200,9032.924023,8930.262988,8916.899512,8802.582861,56.51520086
20110609,20110609,-1817809367,-953263011,-624190618,-240355738,0,0,0,9020.599609,9045.44043,8996.080078,9000.94043,1718400,9020.642187,8957.648047,8915.926514,8809.80153,55.96788989
20110610,20110610,-17698480240,-14386963893,22768505,-3334284852,0,0,0,9042.349609,9053.389648,8837.820313,8837.820313,2192800,8989.93418,8962.590039,8906.133545,8815.09821,44.48398264
20110613,20110613,-18921787643,-15890357218,-493739957,-2537690468,0,0,0,8791.669922,8811.969727,8703.519531,8712.950195,1959600,8923.268164,8952.885059,8891.450537,8823.067708,38.04795699
20110614,20110614,-2054471896,-3627937087,257736711,1315728480,0,0,0,8737.240234,8836.509766,8737.240234,8829.209961,1685800,8877.690234,8953.438086,8887.325537,8831.478206,45.89659513
20110615,20110615,312609384,2002520161,-437398256,-1252512521,0,0,0,8833.860352,8876.139648,8733.599609,8831.450195,2652000,8842.474219,8937.699121,8884.693555,8840.624203,46.03845895
20110616,20110616,-16428021619,-13539106783,-572659744,-2316255092,0,0,0,8739.839844,8739.839844,8654.429688,8654.429688,2089000,8773.17207,8896.907129,8870.173047,8844.952197,37.63981132
20110617,20110617,-3997893390,-3292856714,586379229,-1291415905,0,0,0,8671.450195,8702,8618.849609,8636.099609,2252000,8732.82793,8861.381055,8857.334033,8847.758691,36.8893725
20110620,20110620,-2701178029,-908861191,-331386518,-1460930320,0,0,0,8679.150391,8685.330078,8518.660156,8530.679688,2202800,8696.373828,8809.820996,8842.016504,8848.136019,32.83479842
20110621,20110621,6658599698,5228142683,688899365,741557650,0,0,0,8571.929688,8617.959961,8523.040039,8597.620117,2089200,8650.055859,8763.873047,8834.522022,8849.011686,37.53011789
20110622,20110622,1588684176,-471641225,1184869373,875456028,0,0,0,8663.860352,8679.370117,8598.080078,8621.040039,2079600,8607.973828,8725.224024,8827.743506,8849.75568,39.13329769
20110623,20110623,-399436523,-665269930,-152679553,418512960,0,0,0,8601.150391,8619.389648,8559.330078,8567.280273,1841400,8590.543945,8681.858008,8819.753027,8849.037191,36.79875772
20110624,20110624,543346152,605390286,-265832093,203787959,0,0,0,8567.459961,8569.589844,8508.160156,8532.830078,2049400,8569.890039,8651.358984,8806.974512,8848.700033,35.3436818
20110627,20110627,154845834,-757592530,303345993,609092371,0,0,0,8456.360352,8519.209961,8433.459961,8500.160156,2003800,8563.786133,8630.07998,8791.48252,8847.093197,33.9718138
20110628,20110628,-1004569796,-1846257715,942101215,-100413296,0,0,0,8536.129883,8572.620117,8478.69043,8478.860352,1840800,8540.03418,8595.04502,8774.241553,8844.302376,33.07054551
20110629,20110629,4869038779,3296369686,1484452874,88216219,0,0,0,8540.349609,8598.219727,8499.240234,8573.379883,2338600,8530.502148,8569.237988,8753.468555,8842.470378,40.60136834
20110630,20110630,7475401576,5909657251,1081904191,483840134,0,0,0,8582.080078,8652.589844,8576.650391,8652.589844,2275800,8547.564063,8569.054004,8732.980566,8841.59471,46.07709031
20110701,20110701,4412846759,2058874408,972815719,1381156632,0,0,0,8684.389648,8744.200195,8659.570313,8739.820313,2416000,8588.96211,8579.426074,8720.403564,8839.725374,51.39144735
20110704,20110704,1157957214,-579453235,401727080,1335683369,0,0,0,8801.509766,8808.469727,8772.330078,8774.719727,2317600,8643.874024,8603.830078,8706.825537,8837.608708,53.37144196
20110705,20110705,-343286509,-265907788,314018379,-391397100,0,0,0,8777.219727,8794.139648,8743.450195,8784.44043,2195200,8704.990039,8622.51211,8693.192578,8835.773714,53.93429275
20110706,20110706,141322967,-2564567843,870119820,1835770990,0,0,0,8790.94043,8842.169922,8768.349609,8824.44043,2197000,8755.202149,8642.852149,8684.038086,8834.843229,56.27331755
20110707,20110707,2051583374,996571137,-174356398,1229368635,0,0,0,8795,8795.879883,8757.469727,8773.419922,2347600,8779.368164,8663.466114,8672.662061,8835.523731,52.60431571
20110708,20110708,-4527212126,-1722858053,225310080,-3029664153,0,0,0,8782.719727,8839.139648,8740,8749.549805,2652000,8781.314063,8685.138086,8668.248535,8835.012891,50.93120823
20110711,20110711,-6547391213,-6304063444,158847704,-402175473,0,0,0,8749.549805,8749.549805,8633.549805,8665.849609,2013200,8759.540039,8701.707032,8665.893506,8832.731543,45.47005282
20110712,20110712,-11009718814,-6571344808,-700800049,-3737573957,0,0,0,8581.429688,8595.070313,8479.900391,8491.009766,2547400,8700.853906,8702.921973,8648.983496,8828.946371,36.63358675
20110713,20110713,-9199070964,-9251154678,919274156,-867190442,0,0,0,8480.259766,8539.179688,8452.860352,8488.05957,2393600,8633.577734,8694.389942,8631.813965,8825.172689,36.50467373
20110714,20110714,-3975884728,-3788310750,-25253985,-162319993,0,0,0,8495.509766,8531.959961,8410.44043,8481.349609,2518200,8575.163672,8677.265918,8623.159961,8822.552686,36.19271845
20110715,20110715,-4168561063,-6931804255,1125811448,1637431744,0,0,0,8494.700195,8579.799805,8462.049805,8574.910156,2598800,8540.235742,8660.774902,8620.100488,8818.57985,43.44940688
20110718,20110718,-5758885159,-8759707731,2321620091,679202481,0,0,0,8550.160156,8580.330078,8473.910156,8538.570313,2457000,8514.779883,8637.159961,8620.49502,8811.595182,41.47633206
20110719,20110719,-3960040249,-5811411062,1066275321,785095492,0,0,0,8528.200195,8554.410156,8490.790039,8524.570313,2247800,8521.491992,8611.172949,8616.842529,8804.180859,40.70935288
20110720,20110720,8933441805,5271671431,1509630639,2152139735,0,0,0,8612.530273,8706.169922,8612.530273,8706.169922,2872000,8565.114063,8599.345899,8621.099024,8800.104525,52.88103341
20110721,20110721,635376064,-3340151023,1048911972,2926615115,0,0,0,8705.839844,8725.969727,8683.049805,8717.139648,2804400,8612.27207,8593.717871,8628.591992,8796.254525,53.50199428
20110722,20110722,6743988512,4933786792,761310763,1048890957,0,0,0,8770.950195,8794.480469,8741.089844,8765.320313,3259600,8650.354102,8595.294922,8640.216504,8791.522363,56.23036333
20110725,20110725,-1729047972,-893843624,-640292921,-194911427,0,0,0,8764.679688,8786.030273,8661.759766,8683.509766,2429400,8679.341992,8597.060938,8649.383985,8785.568034,50.78161799
20110726,20110726,5723683691,3118837072,-270027098,2874873717,0,0,0,8700.589844,8794.240234,8689.150391,8794.240234,2358200,8733.275977,8627.383984,8665.152979,8782.007536,56.87301912
20110727,20110727,-2154465001,-4804137777,241980329,2407692447,0,0,0,8775.179688,8819.929688,8754.509766,8817.490234,2979000,8755.540039,8660.327051,8677.358496,8779.864372,58.04708512
20110728,20110728,-9444433059,-7406196405,-412510347,-1625726307,0,0,0,8739.830078,8790.679688,8702.839844,8767.200195,2852400,8765.552148,8688.912109,8683.089014,8776.861882,54.58557921
20110729,20110729,-13002529549,-8182897962,-794762361,-4024869226,0,0,0,8737.719727,8771.639648,8638.669922,8644.179688,3088600,8741.324023,8695.839063,8678.306983,8770.621371,47.17463662
20110801,20110801,8249604434,6354100951,166837727,1728665756,0,0,0,8629.969727,8707.870117,8629.969727,8701.379883,3193600,8744.898047,8712.12002,8674.63999,8766.023861,50.53726107
20110802,20110802,-4459251787,-4435757436,750517461,-774011812,0,0,0,8629.089844,8629.089844,8557.700195,8584.719727,2822400,8702.993945,8718.134961,8664.653955,8758.511182,44.33822825
20110803,20110803,-18426895305,-17886856447,-261140091,-278898767,0,0,0,8466.349609,8472.269531,8360.730469,8456.860352,3447400,8630.867969,8693.204004,8646.274951,8749.07085,38.73080356
20110804,20110804,-8713419551,-7112146020,546139536,-2147413067,0,0,0,8472.370117,8496.070313,8317.269531,8317.269531,3285200,8540.881836,8653.216992,8623.467432,8737.352002,33.71724427
20110805,20110805,-20085730418,-15615674971,-130211861,-4339843586,0,0,0,7962.870117,7975.819824,7844.77002,7853.129883,4304800,8382.671875,8561.997949,8578.646436,8717.676172,23.03849746
20110808,20110808,-33609929057,-31513275488,433658377,-2530311946,0,0,0,7769.600098,7799.490234,7451.290039,7552.799805,4298800,8152.95586,8448.926953,8522.993945,8693.445996,18.87317972
20110809,20110809,-30854791962,-33050475733,398752507,1796931264,0,0,0,7261.540039,7599.140137,7148.759766,7493.120117,5373400,7934.635938,8318.814942,8473.099463,8669.802832,18.17016369
